id;date;note;titre
1;2023-10-09T21:30:10;touriste;ouin corps enseignant tsoin-tsoin
2;2023-10-10T00:03:40;entre-temps membre du personnel;cocorico
3;2023-10-09T14:09:39;alors;interpréter
4;2023-10-10T13:15:36;à l'égard de mal;vouh presque ah
5;2023-10-09T21:18:06;vroum coin-coin exagérer;gestionnaire
6;2023-10-09T19:56:20;conférer;pendant que
7;2023-10-09T20:05:40;placide vroum;plic
8;2023-10-10T12:44:53;mince en outre de;vivace conférer de manière à ce que
9;2023-10-10T12:32:28;bof au cas où;dense du moment que solitaire
10;2023-10-09T18:14:37;énorme tant que nonobstant;hors de certainement
